accs,plane,car,bird,cat,deer,dog,frog,horse,ship,truck,epochs_trained
0.4148,639.0,337.0,734.0,712.0,900.0,691.0,706.0,910.0,431.0,390.0,40
0.4383,639.0,337.0,734.0,712.0,900.0,691.0,706.0,910.0,431.0,390.0,50
0.4597,639.0,337.0,734.0,712.0,900.0,691.0,706.0,910.0,431.0,390.0,60
0.1695,317.0,524.0,741.0,683.0,701.0,49.0,865.0,231.0,163.0,735.0,10
0.2655,317.0,524.0,741.0,683.0,701.0,49.0,865.0,231.0,163.0,735.0,20
0.3105,317.0,524.0,741.0,683.0,701.0,49.0,865.0,231.0,163.0,735.0,30
0.3371,317.0,524.0,741.0,683.0,701.0,49.0,865.0,231.0,163.0,735.0,40
0.3861,317.0,524.0,741.0,683.0,701.0,49.0,865.0,231.0,163.0,735.0,50
0.3891,317.0,524.0,741.0,683.0,701.0,49.0,865.0,231.0,163.0,735.0,60
0.2367,974.0,966.0,629.0,596.0,953.0,55.0,982.0,267.0,710.0,213.0,10
0.306,974.0,966.0,629.0,596.0,953.0,55.0,982.0,267.0,710.0,213.0,20
0.3498,974.0,966.0,629.0,596.0,953.0,55.0,982.0,267.0,710.0,213.0,30
0.3977,974.0,966.0,629.0,596.0,953.0,55.0,982.0,267.0,710.0,213.0,40
0.4305,974.0,966.0,629.0,596.0,953.0,55.0,982.0,267.0,710.0,213.0,50
0.4434,974.0,966.0,629.0,596.0,953.0,55.0,982.0,267.0,710.0,213.0,60
0.1101,187.0,258.0,412.0,94.0,288.0,305.0,308.0,735.0,168.0,886.0,10
0.1535,187.0,258.0,412.0,94.0,288.0,305.0,308.0,735.0,168.0,886.0,20
0.2391,187.0,258.0,412.0,94.0,288.0,305.0,308.0,735.0,168.0,886.0,30
0.309,187.0,258.0,412.0,94.0,288.0,305.0,308.0,735.0,168.0,886.0,40
0.3548,187.0,258.0,412.0,94.0,288.0,305.0,308.0,735.0,168.0,886.0,50
0.3743,187.0,258.0,412.0,94.0,288.0,305.0,308.0,735.0,168.0,886.0,60
0.1642,658.0,656.0,384.0,455.0,595.0,477.0,592.0,785.0,809.0,804.0,10
0.3079,658.0,656.0,384.0,455.0,595.0,477.0,592.0,785.0,809.0,804.0,20
0.3525,658.0,656.0,384.0,455.0,595.0,477.0,592.0,785.0,809.0,804.0,30
0.4032,658.0,656.0,384.0,455.0,595.0,477.0,592.0,785.0,809.0,804.0,40
0.4159,658.0,656.0,384.0,455.0,595.0,477.0,592.0,785.0,809.0,804.0,50
0.4309,658.0,656.0,384.0,455.0,595.0,477.0,592.0,785.0,809.0,804.0,60
0.182,909.0,24.0,186.0,696.0,440.0,609.0,446.0,61.0,250.0,822.0,10
0.2664,909.0,24.0,186.0,696.0,440.0,609.0,446.0,61.0,250.0,822.0,20
0.3026,909.0,24.0,186.0,696.0,440.0,609.0,446.0,61.0,250.0,822.0,30
0.3222,909.0,24.0,186.0,696.0,440.0,609.0,446.0,61.0,250.0,822.0,40
0.3328,909.0,24.0,186.0,696.0,440.0,609.0,446.0,61.0,250.0,822.0,50
0.3504,909.0,24.0,186.0,696.0,440.0,609.0,446.0,61.0,250.0,822.0,60
0.103,987.0,735.0,454.0,283.0,73.0,552.0,61.0,266.0,264.0,398.0,10
0.2084,987.0,735.0,454.0,283.0,73.0,552.0,61.0,266.0,264.0,398.0,20
0.2712,987.0,735.0,454.0,283.0,73.0,552.0,61.0,266.0,264.0,398.0,30
0.3083,987.0,735.0,454.0,283.0,73.0,552.0,61.0,266.0,264.0,398.0,40
0.3273,987.0,735.0,454.0,283.0,73.0,552.0,61.0,266.0,264.0,398.0,50
0.3643,987.0,735.0,454.0,283.0,73.0,552.0,61.0,266.0,264.0,398.0,60
0.1464,828.0,5.0,380.0,933.0,374.0,577.0,23.0,480.0,144.0,23.0,10
0.1723,828.0,5.0,380.0,933.0,374.0,577.0,23.0,480.0,144.0,23.0,20
0.2047,828.0,5.0,380.0,933.0,374.0,577.0,23.0,480.0,144.0,23.0,30
0.2391,828.0,5.0,380.0,933.0,374.0,577.0,23.0,480.0,144.0,23.0,40
0.2566,828.0,5.0,380.0,933.0,374.0,577.0,23.0,480.0,144.0,23.0,50
0.2456,828.0,5.0,380.0,933.0,374.0,577.0,23.0,480.0,144.0,23.0,60
0.2274,576.0,428.0,638.0,460.0,761.0,829.0,607.0,345.0,68.0,819.0,10
0.3015,576.0,428.0,638.0,460.0,761.0,829.0,607.0,345.0,68.0,819.0,20
0.3535,576.0,428.0,638.0,460.0,761.0,829.0,607.0,345.0,68.0,819.0,30
0.3766,576.0,428.0,638.0,460.0,761.0,829.0,607.0,345.0,68.0,819.0,40
0.4241,576.0,428.0,638.0,460.0,761.0,829.0,607.0,345.0,68.0,819.0,50
0.4294,576.0,428.0,638.0,460.0,761.0,829.0,607.0,345.0,68.0,819.0,60
0.1525,473.0,264.0,298.0,660.0,102.0,592.0,41.0,199.0,683.0,880.0,10
0.2153,473.0,264.0,298.0,660.0,102.0,592.0,41.0,199.0,683.0,880.0,20
0.2624,473.0,264.0,298.0,660.0,102.0,592.0,41.0,199.0,683.0,880.0,30
0.3074,473.0,264.0,298.0,660.0,102.0,592.0,41.0,199.0,683.0,880.0,40
0.3388,473.0,264.0,298.0,660.0,102.0,592.0,41.0,199.0,683.0,880.0,50
0.3578,473.0,264.0,298.0,660.0,102.0,592.0,41.0,199.0,683.0,880.0,60
0.1509,17.0,51.0,758.0,89.0,593.0,562.0,107.0,312.0,615.0,170.0,10
0.1923,17.0,51.0,758.0,89.0,593.0,562.0,107.0,312.0,615.0,170.0,20
0.2431,17.0,51.0,758.0,89.0,593.0,562.0,107.0,312.0,615.0,170.0,30
0.2704,17.0,51.0,758.0,89.0,593.0,562.0,107.0,312.0,615.0,170.0,40
0.2819,17.0,51.0,758.0,89.0,593.0,562.0,107.0,312.0,615.0,170.0,50
0.3022,17.0,51.0,758.0,89.0,593.0,562.0,107.0,312.0,615.0,170.0,60
0.1713,323.0,357.0,660.0,864.0,751.0,905.0,218.0,773.0,620.0,864.0,10
0.2849,323.0,357.0,660.0,864.0,751.0,905.0,218.0,773.0,620.0,864.0,20
0.3414,323.0,357.0,660.0,864.0,751.0,905.0,218.0,773.0,620.0,864.0,30
0.3984,323.0,357.0,660.0,864.0,751.0,905.0,218.0,773.0,620.0,864.0,40
0.4293,323.0,357.0,660.0,864.0,751.0,905.0,218.0,773.0,620.0,864.0,50
0.4448,323.0,357.0,660.0,864.0,751.0,905.0,218.0,773.0,620.0,864.0,60
0.2375,796.0,958.0,331.0,651.0,918.0,944.0,848.0,393.0,976.0,192.0,10
0.3339,796.0,958.0,331.0,651.0,918.0,944.0,848.0,393.0,976.0,192.0,20
0.3721,796.0,958.0,331.0,651.0,918.0,944.0,848.0,393.0,976.0,192.0,30
0.4183,796.0,958.0,331.0,651.0,918.0,944.0,848.0,393.0,976.0,192.0,40
0.4144,796.0,958.0,331.0,651.0,918.0,944.0,848.0,393.0,976.0,192.0,50
0.4663,796.0,958.0,331.0,651.0,918.0,944.0,848.0,393.0,976.0,192.0,60
0.1815,310.0,356.0,147.0,500.0,571.0,859.0,604.0,772.0,977.0,779.0,10
0.3112,310.0,356.0,147.0,500.0,571.0,859.0,604.0,772.0,977.0,779.0,20
0.3744,310.0,356.0,147.0,500.0,571.0,859.0,604.0,772.0,977.0,779.0,30
0.4014,310.0,356.0,147.0,500.0,571.0,859.0,604.0,772.0,977.0,779.0,40
0.4296,310.0,356.0,147.0,500.0,571.0,859.0,604.0,772.0,977.0,779.0,50
0.4634,310.0,356.0,147.0,500.0,571.0,859.0,604.0,772.0,977.0,779.0,60
0.1232,829.0,368.0,554.0,673.0,89.0,579.0,64.0,490.0,939.0,560.0,10
